claim_id,source_section,source_line,source_text,source_text_sha256,claim_class,datasets,units,estimand,evidence_paths,evidence_status,action,target_section,target_text,target_text_sha256,reason
R008-C0048,5.2 归一化风险—覆盖面积,137,- NRC=0：理想风险排序；,838d09a5b29b06b3a514aaa5fae2792e6b7acd0689f8d98f39ca691348ed8569,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.2 归一化风险—覆盖面积,- NRC=0：理想风险排序；,838d09a5b29b06b3a514aaa5fae2792e6b7acd0689f8d98f39ca691348ed8569,与 orientation-specific measurement 证据一致。
R008-C0049,5.2 归一化风险—覆盖面积,138,- NRC=1：随机排序基线；,70403995461fbd3e06122f174013188ec5f2e8f302ea9b87da2bad28150cfa09,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.2 归一化风险—覆盖面积,- NRC=1：随机排序基线；,70403995461fbd3e06122f174013188ec5f2e8f302ea9b87da2bad28150cfa09,与 orientation-specific measurement 证据一致。
R008-C0050,5.2 归一化风险—覆盖面积,139,- NRC>1：相对风险反序；,2d3b16f3c04565c323738974234fd75ac1598706bb47efc96e88d3ecfb52fe4c,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.2 归一化风险—覆盖面积,- NRC>1：相对风险反序；,2d3b16f3c04565c323738974234fd75ac1598706bb47efc96e88d3ecfb52fe4c,与 orientation-specific measurement 证据一致。
R008-C0051,5.2 归一化风险—覆盖面积,140,- NRC<1：informative 或 non-reversed ranking，但不表示 calibrated。,cdbd3b94ea6f18eed0a364a074ca2f18ff1a942616b490396b38c40e770bbf69,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.2 归一化风险—覆盖面积,- NRC<1：informative 或 non-reversed ranking，但不表示 calibrated。,cdbd3b94ea6f18eed0a364a074ca2f18ff1a942616b490396b38c40e770bbf69,与 orientation-specific measurement 证据一致。
R008-C0052,5.3 Score menu 与监督分类,144,### 5.3 Score menu 与监督分类,a3ac9c315dd7044044f514740545e0bbd791a79b6e25c739450c4bd332761c84,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.3 Score menu 与监督分类,### 5.3 Score menu 与监督分类,a3ac9c315dd7044044f514740545e0bbd791a79b6e25c739450c4bd332761c84,与 orientation-specific measurement 证据一致。
R008-C0053,5.3 Score menu 与监督分类,150,| detection score | 检测器原始置信度，无额外 GT 拟合 | 是 | 可部署基线 |,535bd1acfcf67c587cce25f7a52d18b71ec14b47fb71d32a2e4557904c39149a,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,5.3 Score menu 与监督分类,| detection score | 检测器原始置信度，无额外 GT 拟合 | 是 | 可部署基线 |,535bd1acfcf67c587cce25f7a52d18b71ec14b47fb71d32a2e4557904c39149a,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0054,5.3 Score menu 与监督分类,151,| TTA circular consistency | 对增强角做 $\theta\mapsto2\theta$，取负圆方差 | 是 | 无目标 GT，但增加推理成本 |,0a7104bcb94d1670d5d437354461b972dce979d6652103d6c91b0745ae79c854,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,5.3 Score menu 与监督分类,| TTA circular consistency | 对增强角做 $\theta\mapsto2\theta$，取负圆方差 | 是 | 无目标 GT，但增加推理成本 |,0a7104bcb94d1670d5d437354461b972dce979d6652103d6c91b0745ae79c854,与 orientation-specific measurement 证据一致。
R008-C0055,5.3 Score menu 与监督分类,153,| target-GT nonlinear geometry | 同类几何特征，在目标域独立拟合集上用 GT 角误差训练 | 是 | diagnostic/calibration upper bound，不可部署 |,7f32866630cd2f1a17ae7d19511a2f1392d9afccdc1f9629c354d51416abc013,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,5.3 Score menu 与监督分类,| target-GT nonlinear geometry | 同类几何特征，在目标域独立拟合集上用 GT 角误差训练 | 是 | diagnostic/calibration upper bound，不可部署 |,7f32866630cd2f1a17ae7d19511a2f1392d9afccdc1f9629c354d51416abc013,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0056,5.3 Score menu 与监督分类,155,目标域上界的拟合集、认证标定集与审计集相互独立，但这种独立性不消除其目标域 GT 依赖。它只能估计可观测几何特征所包含的 headroom。,8cb82854a1377678366e1a3806b823b174724909bfcac571c09f57c6ccc64478,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,5.3 Score menu 与监督分类,目标域上界的拟合集、认证标定集与审计集相互独立，但这种独立性不消除其目标域 GT 依赖。它只能估计可观测几何特征所包含的 headroom。,8cb82854a1377678366e1a3806b823b174724909bfcac571c09f57c6ccc64478,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0057,6 场景级统计与认证可行性审计,157,## 6 场景级统计与认证可行性审计,9fceba9a8b8ca5780a2011fb6d2c11fa19915bb491029f0035825820bbeab58b,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,6 场景级统计与认证可行性审计,## 6 场景级统计与认证可行性审计,9fceba9a8b8ca5780a2011fb6d2c11fa19915bb491029f0035825820bbeab58b,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0058,6.1 Eligible-scene universe 与 abstention,159,### 6.1 Eligible-scene universe 与 abstention,40b1ff01ba54d5373b66f32ddb9d632dae0303972fad4e16d2b4eb61520b2d53,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,### 6.1 Eligible-scene universe 与 abstention,40b1ff01ba54d5373b66f32ddb9d632dae0303972fad4e16d2b4eb61520b2d53,与 orientation-specific measurement 证据一致。
R008-C0059,6.1 Eligible-scene universe 与 abstention,161,对每个 evaluation unit，先固定 baseline eligible-scene universe：只包含至少一个 `ar>=2.1` eligible matched prediction 的原始场景。该 universe 在所有分数、阈值和风险预算下保持不变。,71201a08800d209e38f46557387c6e56713085fcab6b706e69c99039672d3b63,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,对每个 evaluation unit，先固定 baseline eligible-scene universe：只包含至少一个 `ar>=2.1` eligible matched prediction 的原始场景。该 universe 在所有分数、阈值和风险预算下保持不变。,71201a08800d209e38f46557387c6e56713085fcab6b706e69c99039672d3b63,与 orientation-specific measurement 证据一致。
R008-C0060,6.1 Eligible-scene universe 与 abstention,163,阈值 $t$ 后，若场景中没有任何保留的 eligible prediction，则该场景记为 **abstained scene**。它进入 nonempty scene rate 的分母，但不以 $L_I=0$ 进入条件风险均值，从而避免通过大量空选择稀释风险。,16803209e41dd7a7fb02120c7642453a10ff13eea0e38462ab91832d5fe97e88,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,阈值 $t$ 后，若场景中没有任何保留的 eligible prediction，则该场景记为 **abstained scene**。它进入 nonempty scene rate 的分母，但不以 $L_I=0$ 进入条件风险均值，从而避免通过大量空选择稀释风险。,16803209e41dd7a7fb02120c7642453a10ff13eea0e38462ab91832d5fe97e88,与 orientation-specific measurement 证据一致。
R008-C0061,6.1 Eligible-scene universe 与 abstention,168,"L_I(t)=\frac{1}{|S_I(t)|}\sum_{i\in S_I(t)}Y_i^{\mathrm{geo}},",2342a93841b3f37ebcac6fee1aa6716fa56432526a142a10a3fc6dd379e3f973,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,"L_I(t)=\frac{1}{|S_I(t)|}\sum_{i\in S_I(t)}Y_i^{\mathrm{geo}},",2342a93841b3f37ebcac6fee1aa6716fa56432526a142a10a3fc6dd379e3f973,与 orientation-specific measurement 证据一致。
R008-C0062,6.1 Eligible-scene universe 与 abstention,169,"\qquad |S_I(t)|>0,",46bcede71c7a63376a3fde54448921ad03c6819985201ef4b7b73d6fcd7fcd6f,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,"\qquad |S_I(t)|>0,",46bcede71c7a63376a3fde54448921ad03c6819985201ef4b7b73d6fcd7fcd6f,与 orientation-specific measurement 证据一致。
R008-C0063,6.1 Eligible-scene universe 与 abstention,175,Z_I(t)=\mathbf 1\left\{\exists i\in S_I(t):Y_i^{\mathrm{geo}}=1\right\}.,2e925c09580be9bc79b8a73b3075010ed9f459376695b0db0fc388e2aa45b7d0,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.1 Eligible-scene universe 与 abstention,Z_I(t)=\mathbf 1\left\{\exists i\in S_I(t):Y_i^{\mathrm{geo}}=1\right\}.,2e925c09580be9bc79b8a73b3075010ed9f459376695b0db0fc388e2aa45b7d0,与 orientation-specific measurement 证据一致。
R008-C0064,6.1 Eligible-scene universe 与 abstention,178,"对 $L_I\in[0,1]$ 使用 bounded-loss Hoeffding--Bentkus 单侧上界；对二元 $Z_I$ 使用 Clopper--Pearson 单侧上界。实例加权风险仅作为 empirical instance-weighted risk，并使用图像或场景聚类 bootstrap，不构成 instance-i.i.d. 正式保证。",2cd1abfce8613094f68e056788f7d347e00cbae748f198c0953c51124f04bfd8,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,6.1 Eligible-scene universe 与 abstention,"对 $L_I\in[0,1]$ 使用 bounded-loss Hoeffding--Bentkus 单侧上界；对二元 $Z_I$ 使用 Clopper--Pearson 单侧上界。实例加权风险仅作为 empirical instance-weighted risk，并使用图像或场景聚类 bootstrap，不构成 instance-i.i.d. 正式保证。",2cd1abfce8613094f68e056788f7d347e00cbae748f198c0953c51124f04bfd8,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0065,6.2 Mother-scene clustering,180,### 6.2 Mother-scene clustering,34006d5ca4588d67e7c87f463dfa36479658ac5f08711f5be534021402b6d85d,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,### 6.2 Mother-scene clustering,34006d5ca4588d67e7c87f463dfa36479658ac5f08711f5be534021402b6d85d,与 orientation-specific measurement 证据一致。
R008-C0066,6.2 Mother-scene clustering,182,DIOR-R 和 FAIR1M 的评测图像可直接对应原始母景。SODA-A 由切片构成，可以从文件名恢复 576 个母景，但同一母景的切片跨越既有标定/审计角色；在不改变数据划分的前提下，严格 mother-scene calibration/audit independence 不成立。因此 SODA-A 的正式统计单位只能写 tile/image-level，母景聚合仅作为相关性敏感性分析。,e7b5690d1bbbda513f84b5e589b53522016f9277b95b9ccecfbb1bc283f696b4,measurement_numeric,"[""DIOR-R"", ""FAIR1M"", ""SODA-A""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,DIOR-R 和 FAIR1M 的评测图像可直接对应原始母景。SODA-A 由切片构成，可以从文件名恢复 576 个母景，但同一母景的切片跨越既有标定/审计角色；在不改变数据划分的前提下，严格 mother-scene calibration/audit independence 不成立。因此 SODA-A 的正式统计单位只能写 tile/image-level，母景聚合仅作为相关性敏感性分析。,e7b5690d1bbbda513f84b5e589b53522016f9277b95b9ccecfbb1bc283f696b4,与 orientation-specific measurement 证据一致。
R008-C0067,6.2 Mother-scene clustering,184,表 1 展示统计单位改变带来的有效样本量和上界变化。实例独立分析显著更乐观。,214e5c633a579a29ab383f1949c1a77bf2147a94be24f8a8b0845ad972eeb695,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,表 1 展示统计单位改变带来的有效样本量和上界变化。实例独立分析显著更乐观。,214e5c633a579a29ab383f1949c1a77bf2147a94be24f8a8b0845ad972eeb695,与 orientation-specific measurement 证据一致。
R008-C0068,6.2 Mother-scene clustering,186,**表 1　统计单位对有效样本量与单侧上界的影响示例**,2888d93e233864d2147eae64ffb9cde6ee7fa831e8d2e827918746601de90b85,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,**表 1　统计单位对有效样本量与单侧上界的影响示例**,2888d93e233864d2147eae64ffb9cde6ee7fa831e8d2e827918746601de90b85,与 orientation-specific measurement 证据一致。
R008-C0069,6.2 Mother-scene clustering,190,"| DIOR-R | 19,207 | 2,882 | 2,882 | 0.0040 | 0.0188 | 0.0188 | mother-scene 可用 |",bf6fc57f9f14708b458335abcdf9db4bb7f895dfbb486a758328532ffd9fec69,measurement_numeric,"[""DIOR-R""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,"| DIOR-R | 19,207 | 2,882 | 2,882 | 0.0040 | 0.0188 | 0.0188 | mother-scene 可用 |",bf6fc57f9f14708b458335abcdf9db4bb7f895dfbb486a758328532ffd9fec69,与 orientation-specific measurement 证据一致。
R008-C0070,6.2 Mother-scene clustering,191,"| SODA-A | 120,925 | 4,120 | 417 | 0.0061 | 0.0090 | 0.0180 | tile/image 正式；mother-scene 仅敏感性 |",c012278be88c9158a6ae8d065f83da87f51761c5099fcee3c0c2ec56005cbabc,measurement_numeric,"[""SODA-A""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.2 Mother-scene clustering,"| SODA-A | 120,925 | 4,120 | 417 | 0.0061 | 0.0090 | 0.0180 | tile/image 正式；mother-scene 仅敏感性 |",c012278be88c9158a6ae8d065f83da87f51761c5099fcee3c0c2ec56005cbabc,与 orientation-specific measurement 证据一致。
R008-C0071,6.3 固定序列 LTT 与预算分类,193,### 6.3 固定序列 LTT 与预算分类,4e96d15d9d8fa51119b18dcb58c7992703ffcefda391ffbc983408fe4ba278d6,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,6.3 固定序列 LTT 与预算分类,### 6.3 固定序列 LTT 与预算分类,4e96d15d9d8fa51119b18dcb58c7992703ffcefda391ffbc983408fe4ba278d6,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0072,6.3 固定序列 LTT 与预算分类,195,绝对预算在读取认证结果前固定为,df3a6f7bd12d37e75a361e9b54753eaaff8d58262246aaac9b231386c9ccb877,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,6.3 固定序列 LTT 与预算分类,绝对预算在读取认证结果前固定为,df3a6f7bd12d37e75a361e9b54753eaaff8d58262246aaac9b231386c9ccb877,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0073,6.3 固定序列 LTT 与预算分类,198,"\alpha\in\{0.001,0.0025,0.005,0.01\}.",e8db0814394930c98155fbec4a0f790c9beef09d4592566e3e15b8eec565ac60,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.3 固定序列 LTT 与预算分类,"\alpha\in\{0.001,0.0025,0.005,0.01\}.",e8db0814394930c98155fbec4a0f790c9beef09d4592566e3e15b8eec565ac60,与 orientation-specific measurement 证据一致。
R008-C0074,6.3 固定序列 LTT 与预算分类,201,另报告 $0.5r_{\mathrm{fit}}$ 与 $0.25r_{\mathrm{fit}}$ 两个次级相对预算，其中 $r_{\mathrm{fit}}$ 来自独立拟合集的未筛选条件场景风险。候选覆盖率固定为,2695bd00608777421cf0e3fcf24abc4da77fc9b518e4b4812ba2e4290ae7f8ff,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.3 固定序列 LTT 与预算分类,另报告 $0.5r_{\mathrm{fit}}$ 与 $0.25r_{\mathrm{fit}}$ 两个次级相对预算，其中 $r_{\mathrm{fit}}$ 来自独立拟合集的未筛选条件场景风险。候选覆盖率固定为,2695bd00608777421cf0e3fcf24abc4da77fc9b518e4b4812ba2e4290ae7f8ff,与 orientation-specific measurement 证据一致。
R008-C0075,6.3 固定序列 LTT 与预算分类,204,"\{0.01,0.025,0.05,0.1,0.2,\ldots,0.9,1.0\}.",406c7e0fec798b0512c17872dcb70e92d9c323012b99b70ccc940ff28773fd21,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,6.3 固定序列 LTT 与预算分类,"\{0.01,0.025,0.05,0.1,0.2,\ldots,0.9,1.0\}.",406c7e0fec798b0512c17872dcb70e92d9c323012b99b70ccc940ff28773fd21,与 orientation-specific measurement 证据一致。
R008-C0076,6.3 固定序列 LTT 与预算分类,207,阈值只由拟合集分位数产生；标定集按覆盖率从低到高执行 fixed-sequence LTT，首个失败后不继续拒绝后续假设。审计集不参与阈值、方向或预算选择。,dfacd9f4dea7cb737552e3d12b1d27d9e8d53552710af7567b8f8df64c5594ef,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,6.3 固定序列 LTT 与预算分类,阈值只由拟合集分位数产生；标定集按覆盖率从低到高执行 fixed-sequence LTT，首个失败后不继续拒绝后续假设。审计集不参与阈值、方向或预算选择。,dfacd9f4dea7cb737552e3d12b1d27d9e8d53552710af7567b8f8df64c5594ef,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
